Metric,Score
BLEU-1,0.5710468800911819
BLEU-2,0.4122162515464302
BLEU-3,0.3014416968309406
BLEU-4,0.21580953400385064
ROUGE-1,0.5271594637518419
ROUGE-2,0.2960864516602435
ROUGE-L,0.5031200594353373
